ii,pi,x,y,z
0,0,0,0,0
1,1,1,0,0
2,2,1,1,0
3,3,0,1,0
4,4,0,0,1
5,5,1,0,1
6,6,1,1,1
7,7,0,1,1
8,8,0,0,2
9,9,1,0,2
10,10,1,1,2
11,11,0,1,2
12,12,0,0,3
13,13,1,0,3
14,14,1,1,3
15,15,0,1,3
16,16,0,0,4
17,17,1,0,4
18,18,1,1,4
19,19,0,1,4
20,20,0.5,0.5,5
21,21,0.5,-0.5,5
22,22,1.5,-0.5,5
23,23,1.5,0.5,5
24,24,0.5,1.5,5
25,25,-0.5,1.5,5
26,26,-0.5,0.5,5
27,27,1,0,6
28,28,1,-1,6
29,29,2,-1,6
30,30,2,0,6
31,31,0,1,6
32,32,0,2,6
33,33,-1,2,6
34,34,-1,1,6
35,35,1,0,7
36,36,1,-1,7
37,37,2,-1,7
38,38,2,0,7
39,39,0,1,7
40,40,0,2,7
41,41,-1,2,7
42,42,-1,1,7
