ii,i,j,pi
0,0,0,0
1,1,0,1
2,2,0,2
3,3,0,3
4,4,0,0
5,5,0,1
6,0,1,4
7,1,1,5
8,2,1,6
9,3,1,7
10,4,1,4
11,5,1,5
12,0,2,8
13,1,2,9
14,2,2,10
15,3,2,11
16,4,2,8
17,5,2,9
18,0,3,12
19,1,3,13
20,2,3,14
21,3,3,15
22,4,3,12
23,5,3,13
24,0,4,16
25,1,4,17
26,2,4,18
27,3,4,19
28,4,4,16
29,5,4,17
30,0,5,20
31,1,5,20
32,2,5,21
33,3,5,22
34,4,5,23
35,5,5,20
36,6,5,20
37,7,5,24
38,8,5,25
39,9,5,26
40,10,5,20
41,11,5,20
42,12,5,21
43,13,5,22
44,0,6,31
45,1,6,31
46,2,6,27
47,3,6,27
48,4,6,28
49,5,6,29
50,6,6,30
51,7,6,27
52,8,6,27
53,9,6,31
54,10,6,31
55,11,6,32
56,12,6,33
57,13,6,34
58,14,6,31
59,15,6,31
60,16,6,27
61,17,6,27
62,18,6,28
63,19,6,29
64,0,7,39
65,1,7,39
66,2,7,35
67,3,7,35
68,4,7,36
69,5,7,37
70,6,7,38
71,7,7,35
72,8,7,35
73,9,7,39
74,10,7,39
75,11,7,40
76,12,7,41
77,13,7,42
78,14,7,39
79,15,7,39
80,16,7,35
81,17,7,35
82,18,7,36
83,19,7,37
