u,v,x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,8.005993753609181121e-05,-5.809103729708515974e-04,1.858104874769667906e-03
0.000000000000000000e+00,5.882352941176470507e-02,8.005993753505567985e-05,-5.809103729708592952e-04,6.043073249194898244e-02
0.000000000000000000e+00,1.176470588235294101e-01,8.005993753507749942e-05,-5.809103729708639573e-04,2.994187227232653625e-01
0.000000000000000000e+00,1.764705882352941013e-01,8.005993753545752583e-05,-5.809103729708611384e-04,6.631558157950395715e-01
0.000000000000000000e+00,2.352941176470588203e-01,8.005993753549608277e-05,-5.809103729708463932e-04,1.095975751933592868e+00
0.000000000000000000e+00,2.941176470588235392e-01,8.005993753525072782e-05,-5.809103729708515974e-04,1.517647058823532680e+00
0.000000000000000000e+00,3.529411764705882026e-01,8.005993753472110861e-05,-5.809103729708716551e-04,1.941176470588239056e+00
0.000000000000000000e+00,4.117647058823529216e-01,8.005993753459214276e-05,-5.809103729708658004e-04,2.364705882352945654e+00
0.000000000000000000e+00,4.705882352941176405e-01,8.005993753466218222e-05,-5.809103729708740404e-04,2.788235294117646923e+00
0.000000000000000000e+00,5.294117647058823595e-01,8.005993753489810461e-05,-5.809103729708605963e-04,3.211764705882353077e+00
0.000000000000000000e+00,5.882352941176470784e-01,8.005993753493057647e-05,-5.809103729708605963e-04,3.635294117647059675e+00
0.000000000000000000e+00,6.470588235294117974e-01,8.005993753490115393e-05,-5.809103729708576689e-04,4.058823529411766273e+00
0.000000000000000000e+00,7.058823529411764053e-01,8.005993753423438315e-05,-5.809103729708801119e-04,4.482352941176470651e+00
0.000000000000000000e+00,7.647058823529411242e-01,8.005993753487326283e-05,-5.809103729708700288e-04,4.904024248066416902e+00
0.000000000000000000e+00,8.235294117647058432e-01,8.005993753536738797e-05,-5.809103729708637405e-04,5.336844184204979413e+00
0.000000000000000000e+00,8.823529411764705621e-01,8.005993753509702861e-05,-5.809103729708651499e-04,5.700581277276748793e+00
0.000000000000000000e+00,9.411764705882352811e-01,8.005993753444473192e-05,-5.809103729708712215e-04,5.939569267508055361e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.005993753379305865e-05,-5.809103729708787025e-04,5.998141895125236545e+00
4.347826086956521618e-02,0.000000000000000000e+00,5.362907602897488968e-03,1.597503525669869513e-03,1.858104874770072964e-03
4.347826086956521618e-02,5.882352941176470507e-02,5.362907602897076971e-03,1.597503525669865610e-03,6.043073249194880203e-02
4.347826086956521618e-02,1.176470588235294101e-01,5.362907602897183656e-03,1.597503525669871681e-03,2.994187227232650850e-01
4.347826086956521618e-02,1.764705882352941013e-01,5.362907602897502846e-03,1.597503525669881656e-03,6.631558157950396826e-01
4.347826086956521618e-02,2.352941176470588203e-01,5.362907602897726625e-03,1.597503525669885993e-03,1.095975751933592868e+00
4.347826086956521618e-02,2.941176470588235392e-01,5.362907602897418712e-03,1.597503525669881656e-03,1.517647058823532680e+00
4.347826086956521618e-02,3.529411764705882026e-01,5.362907602897117737e-03,1.597503525669868646e-03,1.941176470588237724e+00
4.347826086956521618e-02,4.117647058823529216e-01,5.362907602897112533e-03,1.597503525669875151e-03,2.364705882352943878e+00
4.347826086956521618e-02,4.705882352941176405e-01,5.362907602897199269e-03,1.597503525669874934e-03,2.788235294117647811e+00
4.347826086956521618e-02,5.294117647058823595e-01,5.362907602897386619e-03,1.597503525669879921e-03,3.211764705882352633e+00
4.347826086956521618e-02,5.882352941176470784e-01,5.362907602897385752e-03,1.597503525669881222e-03,3.635294117647058787e+00
4.347826086956521618e-02,6.470588235294117974e-01,5.362907602897217484e-03,1.597503525669877319e-03,4.058823529411765385e+00
4.347826086956521618e-02,7.058823529411764053e-01,5.362907602896753445e-03,1.597503525669869730e-03,4.482352941176467986e+00
4.347826086956521618e-02,7.647058823529411242e-01,5.362907602897072634e-03,1.597503525669879704e-03,4.904024248066416014e+00
4.347826086956521618e-02,8.235294117647058432e-01,5.362907602897517591e-03,1.597503525669874067e-03,5.336844184204974084e+00
4.347826086956521618e-02,8.823529411764705621e-01,5.362907602897362333e-03,1.597503525669874283e-03,5.700581277276744352e+00
4.347826086956521618e-02,9.411764705882352811e-01,5.362907602897032736e-03,1.597503525669875368e-03,5.939569267508054473e+00
4.347826086956521618e-02,1.000000000000000000e+00,5.362907602896913907e-03,1.597503525669873633e-03,5.998141895125237433e+00
8.695652173913043237e-02,0.000000000000000000e+00,7.919079326817814179e-02,-5.809103729708744741e-04,1.858104874769958689e-03
8.695652173913043237e-02,5.882352941176470507e-02,7.919079326817814179e-02,-5.809103729708741488e-04,6.043073249194853835e-02
8.695652173913043237e-02,1.176470588235294101e-01,7.919079326817830833e-02,-5.809103729708637405e-04,2.994187227232649740e-01
8.695652173913043237e-02,1.764705882352941013e-01,7.919079326817854425e-02,-5.809103729708536574e-04,6.631558157950396826e-01
8.695652173913043237e-02,2.352941176470588203e-01,7.919079326817876630e-02,-5.809103729708523563e-04,1.095975751933593090e+00
8.695652173913043237e-02,2.941176470588235392e-01,7.919079326817869691e-02,-5.809103729708535490e-04,1.517647058823532458e+00
8.695652173913043237e-02,3.529411764705882026e-01,7.919079326817853037e-02,-5.809103729708586447e-04,1.941176470588237057e+00
