u,v,x,y,z
1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.142857142857143016e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.322250639386191473e-01
1.000000000000000056e-01,3.285714285714286254e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.457142857142857517e+00
1.000000000000000056e-01,4.428571428571428381e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.485714285714285765e+00
1.000000000000000056e-01,5.571428571428571619e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.514285714285715123e+00
1.000000000000000056e-01,6.714285714285714857e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.542857142857143593e+00
1.000000000000000056e-01,7.857142857142856984e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.567774936061380409e+00
1.000000000000000056e-01,9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
1.727272727272727293e-01,1.000000000000000056e-01,9.011033919084594779e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.727272727272727293e-01,2.142857142857143016e-01,9.011033919084593391e-02,0.000000000000000000e+00,4.322250639386190918e-01
1.727272727272727293e-01,3.285714285714286254e-01,9.011033919084594779e-02,0.000000000000000000e+00,1.457142857142857961e+00
1.727272727272727293e-01,4.428571428571428381e-01,9.011033919084593391e-02,0.000000000000000000e+00,2.485714285714285321e+00
1.727272727272727293e-01,5.571428571428571619e-01,9.011033919084596167e-02,0.000000000000000000e+00,3.514285714285715123e+00
1.727272727272727293e-01,6.714285714285714857e-01,9.011033919084596167e-02,0.000000000000000000e+00,4.542857142857142705e+00
1.727272727272727293e-01,7.857142857142856984e-01,9.011033919084593391e-02,0.000000000000000000e+00,5.567774936061381297e+00
1.727272727272727293e-01,9.000000000000000222e-01,9.011033919084593391e-02,0.000000000000000000e+00,6.000000000000000000e+00
2.454545454545454808e-01,1.000000000000000056e-01,4.646046973205426034e-01,0.000000000000000000e+00,0.000000000000000000e+00
